,product_name,manufacturer,price,product_description,euro
0,Lego City 2824: Advent Calendar 2010,LEGO,£43.87,"The holidays are coming to LEGO City, one gift at a time! Unwrap an adventure during the first 24 days of December! Countdown to the holidays with a new LEGO City minifigure, vehicle or accessory every morning! Deck the halls of LEGO City with buildable holiday novelties!Open a window containing a build for December 1st through December 24th! Includes 24 LEGO City themed gifts. Includes 6 minifigures. Builds inside including a Christmas tree, fireplace and Santa's train set. Features holiday accessories, furniture and lots of cool vehicles.",48.7
1,LEGO Friends 41016: Advent Calendar,LEGO,£24.95,"Product Description LEGO Friends Advent Calendar features 24 gifts, each enclosed in its own compartment in a LEGO Friends holiday-themed calendar. Includes Stephanie and Lily mini-doll figures. For 5 years and over. Box Contains Includes Stephanie and Lily mini-doll figures",27.69
2,LEGO Star Wars 75018: Jek-14's Stealth Starfighter,LEGO,£68.87,"Product Description LEGO® Star Wars™ Jek-14’s [TM] Stealth Starfighter features retractable landing gear, opening cockpit with space for a minifigure, folding wings, rotating and elevating blaster cannon, R4-G0™ astromech droid. Includes R4-G0 astromech droid and 3 minifigures with weapons. For 8 years and over. Box Contains Includes R4-G0 astromech droid 3 x minifigures with weapons:1 x Jek-14™1 x Separatist Bounty Hunter™ 1 x Special Forces Clone Trooper™",76.45
3,LEGO City 7687 Advent Calendar 2009,LEGO,£24.99,Manufacturer's Description 24 days of LEGO® City building fun! This advent calendar has nine minifigures included and many other cool accessories that make your LEGO City even more exciting.,27.74
4,LEGO Star Wars 75015: Corporate Alliance Tank Droid,LEGO,£39.99,Product Description LEGO® Star Wars™ Corporate Alliance Tank Droid[TM] features large track tire and 2 flick missiles. Includes 3 minifigures. For 7 years and over. Box Contains Includes 3 x minifigures:1 x Clone Trooper™1 x Jango Fett 1 x Battle Droid,44.39
5,LEGO City 7907: Advent Calendar,LEGO,£61.14,,67.87
6,Lego City 7553: Advent Calendar,LEGO,£49.90,"Lego 7553 - City - Advent Calendar It's Christmas time again ! Just make sure the robbers don't steal all the gifts and get away. Help the police catch the robbers using the cool snowmobile or the mini police car and make it another great Christmas again this year. The 24 individual gifts, including police and robber minifigures, are the perfect addition to your existing LEGO® sets and a great start to the festive holidays. Piece count : 232 pieces. Box dimensions : 38.2 cm x 26.2 cm x 7.1 cm.",55.39
7,Lego Kingdoms Advent Calendar 7952,LEGO,£69.99,Celebrate 24 December days full of medieval builds! There's a surprise in store for you every morning as you decorate the LEGO Kingdoms with new exclusive holiday accessories every day. Open each window containing a build for December 1st through December 24th!,77.69
8,Lego Castle Advent Calendar 7979 NEW / SEALED,LEGO,£65.48,Lego Castle Advent Calendar 7979 NEW / SEALED,72.68
9,LEGO Star Wars 9498: Saesee Tiin's Jedi Starfighter,LEGO,£45.81,"Jedi Master Saesee Tiin is patrolling for Separatist forces in his Jedi Starfighter, ready to go into battle with fellow Jedi Master Even Piell. As well as being extremely light and agile, Saesee Tiin’s green starfighter is equipped with 4 missiles, an R3-D5 droid and if the action gets a little too intense, a cockpit section detaches to become the Jedi Master’s very own escape pod. Includes 3 minifigures: Saesee Tiin, Astromech Droid R3-D5 and Even Piell.",50.85
10,LEGO Friends 41102 Advent Calendar,LEGO,£19.99,"Product Description Count down to a LEGO Friends Christmas this December! Build the winter village in Heartlake City Square, with a new piece to add every day. You'll find special winter sports equipment, fairground games and Christmas cakes and candies. You might even find some furry winter friends inside too. Includes Andrea and Liza mini-doll figures in a calendar with 24 secret compartments, each containing its own buildable surprise. Box Contains Build surprises every day in December with the LEGO Friends Advent Calendar 2015",22.19
11,LEGO Friends 41040 LEGO Friends Advent Calendar,LEGO,£27.00,"Product Description Count down to a LEGO Friends Christmas this December! Build the holiday story as you follow Mia on a sledding adventure. Spot the wildlife in the forest on the way to her friend Ewa's house, then help them prepare a delicious Christmas dinner and share in the excitement as they open all their presents. Includes Mia and Ewa mini-doll figures with 24 buildable surprises in a calendar with 24 secret compartments. Box Contains Includes Mia and Ewa mini-doll figures",29.97
12,Plastic Man - Lego Mini Figure - DC Comics Super Heroes,LEGO,£12.59,LEGO Super Heroes: Plastic Man Set 5004081 (Bagged),13.97
13,LEGO TMNT - MICHELANGELO V2 Minifigure - Teenage Mutant Ninja Turtles,LEGO,£12.90,Brand New Minifigure from LEGO. Includes Weapons and Accessories as shown. Ages 5+,14.32
14,LEGO Star Wars 9515: The Malevolence,LEGO,£156.95,"Product Description The Malevolence is General Grievous’ flagship and one of the Separatist military’s most feared weapons. Unbeknownst to Grievous and his crew, Anakin and Padmé have entered the giant craft in an attempt to rid the galaxy of this deadly curse. The Malevolence features a cargo bay with transport train, detailed interior with removable/opening sections for easy access and twin quick-fire missile launchers. Includes 6 minifigures: Anakin Skywalker, Padmé Amidala, General Grievous, Count Dooku, Battle Droid Commander and Battle Droid.",174.21
15,LEGO Racers 8384: Jungle Crasher,LEGO,£46.80,LEGO Racers 8384: Jungle Crasher,51.95
16,LEGO Galaxy Squad 70708: Hive Crawler,LEGO,£46.99,"Product Description LEGO® Galaxy Squad Hive Crawler features an egg launcher, 2 hatching eggs containing 1 flying and 1 crawling insectoid, razor-sharp moving legs and rotating laser guns. Includes 2 insectoids and 3 minifigures with weapons. For 8 years and over. Box Contains Includes 2 x insectoids 3 x minifigures with weapons:1 x red team leader Billy Starbeam1 x robot sidekick with jetpack 1 x an alien mantizoid",52.16
17,LEGO Architecture Louvre Building Set,LEGO,£41.95,"Product Description Build a LEGO brick model of the Louvre, the world's largest museum of art. Located in the heart of Paris on the bank of the river Seine, this magnificent structure, renowned for its striking blend of Renaissance and Modernist architecture, welcomes over 9 million visitors a year and houses over 35,000 works of art, including Leonardo da Vinci's Mona Lisa. The Louvre started life as a fortress, built by King Philip Augustus in 1190 to protect Parisians from foreign invasion, and has since undergone a number of renovations. The result is the architecturally stunning Louvre we know today. This detailed LEGO model features the prominent Pavillon de l'Horloge and the iconic, once controversial, glass pyramid designed by the renowned Chinese-American architect, I. M. Pei. Box Contains Recreate the magnificent Louvre with this detailed LEGO set, featuring the Pavillon de l'Horloge and I.M. Pei's iconic Pyramide du Louvre.",46.56
18,LEGO Indiana Jones: Colonel Dovchenko Keychain,LEGO,£6.99,LEGO Indiana Jones: Colonel Dovchenko Keychain,7.76
19,LEGO Legends of Chima 70105: Nest Dive,LEGO,£12.99,Product Description LEGO Chima Nest Dive features nest with 4 leaf ramps. Includes Eglor minifigure with 2 weapons. For 6 years and over. Box Contains 1 x Includes Eglor minifigure with 2 weapons,14.42
20,LEGO Architecture 21020: Trevi Fountain,LEGO,£45.98,"Product Description Construct a detailed LEGO brick model of the world-famous Trevi Fountain, the largest fountain in Rome. Designed by Nicola Salvi, the 'Fontana di Trevi' took 30 years to build and was completed by his friend - the sculptor, Pietro Bracci - in 1762, 11 years after Salvi's death. This stunning Baroque monument carved from Travertine stone has been the backdrop for many classic movies, including Federico Fellini's La Dolce Vita. And, today, over 250 years later, the 49-meter-wide fountain still draws thousands of visitors to the small Trevi square. Box Contains 1 x Interpretation of real-world architectural landmark, the Trevi Fountain",51.04
21,LEGO Chima 70230: Ice Bear Tribe Pack,LEGO,£10.99,"Product Description Unite with the Ice Bears with the LEGO Legends of Chima Ice Bear Tribe Pack with tribal banner, Ice Hurler disc shooter and stud shooter. Box Contains 75 x Pieces",12.2
22,LEGO Indiana Jones 7682 Template of Doom: Shanghai Chase,LEGO,,Lego Indiana Jones Shanghai Chase 7682,0.0
23,LEGO Creator Designer Set 4884: Wild Hunters,LEGO,£121.06,"Product Description LEGO Creator Designer Set 4884: Wild Hunters - 630 pieces Manufacturer's Description Are you ready for a safari adventure? Lions, hyenas, vultures - the Idea Book is packed with great details of fierce predators, all with realistic joint elements! Create the three main models at the same time or be inspired and let your creations go wild! Manufacturer's recommended age 6 years +.",134.38
24,LEGO Friends 41043: Penguin's Playground,LEGO,£15.95,"Product Description The cute and playful penguin likes nothing more than playing on its super new slide in the Penguin's Playground. After a long day playing, put penguin to bed for a nap before its time to feast on the tasty fish. Care for your very own LEGO Friends animal! Box Contains 1 x a cute penguin figure with a bow",17.7
25,Lego Super heroes Flash keyring - 853454,LEGO,£5.85,LEGO Super Heroes: Flash Keychain,6.49
26,Swamp jet 30252 Lego Cima Cragg (japan import),LEGO,£9.92,LEGO Legends of Chima: Crug's Swamp Jet Set 30252 (Bagged),11.01
27,LEGO® Star WarsTM Minifig Watto (from set 7962),LEGO,£9.99,LEGO Star Wars: Watto Minifigure,11.09
28,LEGO Creator 4837: Mini Trains,LEGO,£24.98,Product Description LEGO Creator 4837: Mini Trains Manufacturer's Description Practice Skim Boarding without leaving home with the Skim Board Slide. You can now skim board without the sea but with all the thrills. Huge 7.9 x 1.8 m slide. Skim board included. For ages 8 years and over.,27.73
29,LEGO City: Lawn Mower Set 30224 (Bagged),LEGO,£14.96,LEGO City: Lawn Mower Set 30224 (Bagged),16.61
30,"LEGO Classic Led Book Light, Blue, White and Red (Colors Vary)",LEGO,,"LEGO Classic Led Book Light, Blue, White and Red (Colors Vary)",0.0
31,Lego Spongebob Squarepants Mini Figure Spongebob (Shocked Look),LEGO,£6.09,Lego Spongebob Squarepants Mini Figure Spongebob (Shocked Look) - single loose minifigure supplied only.,6.76
32,Lego 40080 Friends Pencil Holder,LEGO,£17.20,Lego LEGO 40080 Friends pencil holder,19.09
33,LEGO Technic 42052: Heavy Lift Helicopter Mixed,LEGO,£89.73,"Product Description Call in the mighty 2-in-1 Heavy Lift helicopter with an array of intricate technical details and motorized functions, including contra-rotating rotors, opening loading ramp and cargo bay doors and a working winch. This model also features movable elevator and rudders, a multidirectional nose wheel and a buildable cargo accessory. Comes with an orange, white and gray color scheme. Rebuilds into a Tandem Rotor Helicopter. Safety Warning not appropriate for children under the age of 3 See all Product Description",99.6
34,Lego Star Wars 20 Light sabers 5 colours with FLAT Silver hilt,LEGO,£18.75,Lego Star Wars 20 Light sabers 5 colours with FLAT Silver hilt. Can be used with ALL Lego fig.!,20.81
35,LEGO Technic 9395: Pick-Up Tow Truck,LEGO,,"Product Description Haul in style with the cool Pick-up Tow Truck. Rescue broken-down drivers in style with the cool and powerful American-style pick-up tow truck. This realistic model features working steering, folding tow lift, working winch, opening doors and a hood that opens t o reveal a working piston engine. You can even motorise the tow lift with LEGO Power Functions (not supplied). Rebuilds into a truck with lift. Box Contains Rescue broken-down drivers in style with the cool and powerful American-style pick-up tow truck. This realistic model features working steeringfolding tow liftworking winchopening doors and a hood that opens t o reveal a working piston engine. You can even motorise the tow lift with LEGO Power Functions (not supplied). Rebuilds into a truck with lift.",0.0
36,Lego Buildable Brick Box (size 2x2) - 40118,LEGO,£24.35,Product Description Store your stuff in Lego Buildable Brick Box 2x2. Build a box with a lid and a box with a drawer. Includes a painter minifigure with an accessory. Box Contains 1x Lego Buildable Brick Box (size 2x2) - 40118,27.03
37,LEGO Technic 8047: Compact Excavator,LEGO,,"Manufacturer's Description 2-in-1 construction power! Make quick work of tough digging jobs with the Compact Excavator! Drive around the job site on working belt treads, and use the control knobs to operate the articulated arm and shovel like a pro. Cabin platform rotates 360 degrees! 2-in-1 model rebuilds into a material handler vehicle.",0.0
38,LEGO Technic 8292: Cherry Picker,LEGO,,"Product Description LEGO Technic 8292: Cherry Picker Manufacturer's Description Build your own cherry picker from scratch, then use the motorized power functions to move the bucket and boom up and down, and flip the switch to make it rotate 360 degrees around. Turn the gear on top to steer the front tires. This realistic LEGO Technic bucket truck includes instructions for rebuilding into a dump truck. Measures over 12.5 inches (31cm) long and boom reaches over 16.5 inches (41cm) tall! Set includes motor and battery box. Requires 6 AA (1.5v) batteries, not included.",0.0
39,LEGO REBEL BLOCKADE RUNNER 10019,LEGO,,"Exclusive lego set containing 1748 pieces, now retired, hard to find, brand new in box, all internal packets of bricks sealed",0.0
40,Lego Star Wars - 20 Lightsabers 5 Colours (ink. Dark Blue) with Black Hilts,LEGO,£10.99,brand new item without original packaging,12.2
41,LEGO Bricks & More 4635: Fun with Vehicles,LEGO,£51.12,"Product Description Get your motor running with the wide world of LEGO vehicle building. Includes two minifigures, wheels, workshop tools and lots of colour-coded basic elements for the ultimate LEGO vehicle set. Create cars, trucks, racing cars and more. Also includes a booklet containing easy-to-follow building instructions and inspirational ideas. Box Contains Including 2 male minifigureswheelsworkshop tools and lots of colour-coded basic elementsthe ultimate LEGO vehicle set is the perfect gateway to a world of carstrucksracing cars and more. Also includes a bo oklet containing easy-to-follow building instructions and inspirational ideas.",56.74
42,LEGO Super Heroes 76009: Superman Black Zero Escape,LEGO,£27.00,Product Description LEGO® Super Heroes Superman[TM]: Black Zero Escape features Black Zero ship section and an escape pod. Includes 3 minifigures and a weapon. For 6 years and over. Box Contains Includes 3 x minifigures a weapon:Superman™ Lois Lane General Zod,29.97
43,"LEGO Indiana Jones Magnets: Indiana Jones, Marion Ravenwood, Henry Jones Minifig Pack",LEGO,£29.84,,33.12
44,LEGO City: Cherry Picker Repair Lift Set 30229 (Bagged),LEGO,£5.79,LEGO City: Cherry Picker Repair Lift Set 30229 (Bagged),6.43
45,Lego Bionicle Mask Maker vs. Skull Grinder - 70795,LEGO,£46.97,"Begin the ultimate battle between good and evil with Lego Bionicle Mask Maker vs. Skull Grinder!  Join forces with Ekimu, the wise Mask Maker, to prevent Skull Grinder from taking the powerful Mask of Creation. Activate the battle arm functions and let combat commence! Evade the Mask Stealer Staff as the evil Lord of the Skulls tries to knock off Mask Maker's special Protector Mask. Defend with the rotating saw shield and attack with the Hammer of Power's rapid shooter. You must use all of the Mask Maker's magical skills to triumph over this evil foe! Once built, the Skull Grinder is a huge 21cm and the Mask Maker is 14cm. A great gift for Lego Bionicle fans aged seven and up.",52.14
46,LEGO Chima 70156: Fire vs. Ice,LEGO,£33.59,"Product Description Get set for a high-velocity duel between good and evil as Laval takes on Sir Fangar in the LEGO Legends of Chima Speedorz Fire vs. Ice challenge! Match up against a friend, select a tribe leader and attach your chosen warrior to their Speedor. Aim for your opponent's CHI totem-topped tower, pull the rip cord and unleash the power. First one to knock down the CHI orb wins! Set includes Laval and Sir Fangar minifigure, four weapons, two Speedorz with claws, two rip cords, two towers/barriers, two CHI totems, fire CHI orb, CHI orb, 12 CHI crystals and 10 game cards. Put your skills of accuracy and timing to the test with this rip cord skill game for two players. Box Contains x102 Pieces",37.28
47,LEGO The Hobbit 79002: Attack of the Wargs,LEGO,,"Product Description Includes 5 minifigures and assorted weapons from the film for hours of role-playing fun. view larger Fight Yazneg and the Orcs using the tree's flame shooter. view larger Protect the Dwarves from the Orcs in a flame-throwing treetop battle Having escaped the Goblins of the Misty Mountains, the Company of Dwarves come face to face with another terrible threat. Catapult the Dwarves into the leafy branches of the tall tree, where they'll be safe as Yazneg and two Hunter Orcs arrive on Wargs and attack. When the Orcs try to burn the tree down, use the tree's magic flame shooter function to fight back. This set includes five minifigures: Thorin Oakenshield, Bifur the Dwarf, Yazneg, and two Hunter Orcs, all with assorted weapons. Features of the set The Attack of the Wargs set, part of the LEGO The Hobbit range, features two Wargs, a tree, two campfires, and two rock ledges. The tree features rotating sections and a magic flame shooter function, and the small rock ledge features a catapult function. Accessories include four flame elements to use with the flame shooter on the tree, and other minifigures in the LEGO The Hobbit range can also be used with the set for added role-playing fun. Why choose LEGO? For generations, LEGO toys have been developing young builders as they use their imagination, creativity, and problem-solving skills. With products suitable for all ages and preferences, LEGO toys provide endless building fun for the whole family. Box Contains 2 x Wargs1 x Tree2 x Campfires2 x Rock ledges1 x Thorin Oakenshield minifigure with weapon1 x Bifur the Dwarf minifigure with weapon1 x Yazneg minifigure with weapon2 x Hunter Orcs minifigures with weapons4 x Large flame element accessories",0.0
48,LEGO Technic 42022: Hot Rod,LEGO,£41.90,"Product Description Get behind the wheel of this super cool LEGO Technic Hot Rod and get ready to burn some serious rubber! This detailed model features lots of realistic details, like the visible V6 engine with moving pistons, working steering, chunky tyres, groovy folding roof, and bodywork with skull and flame decoration. The Hot Rod also rebuilds into a Rally Racer. Box Contains 1 x Features a big, open V6 engine with moving pistons, working front steering, chunky tires and a cool folding roof",46.51
49,LEGO City Police 60128: Police Pursuit Mixed,LEGO,£13.99,"Product Description Stop the crook escaping LEGO City with the safe, featuring a police supercar, crook’s pickup truck, an opening safe with 3 banknotes, welding torch and other accessory elements. Includes 2 minifigures: a police officer and a crook. Safety Warning not appropriate for children under the age of 3 See all Product Description",15.53
50,Lego Bionicle Pohatu Nuva 8568,LEGO,£32.68,"The Spirit of Stone, Pohatu Nuva's huge new set of claws are quick to grab and move large rocks if that's what's required. To get out of a tight spot, the claws can be combined to form a protodermic ball that can be smashed against rock faces, causing massive boulders to splinter on impact! Pohatu Nuva is protected from rock falls himself by his astounding armour.",36.27
51,LEGO Star Wars: Ahsoka Minifigure with Green Lightsaber,LEGO,£10.99,brand new item without original packaging,12.2
52,LEGO Super Heroes 76044: Batman v Superman Clash of the Heroes,LEGO,£11.99,"Product Description LEGO Super Heroes ""Clash of the Heroes"" Building Set (Multi-Colour) Box Contains 0",13.31
53,LEGO Bionicle 8570 Gali Nuva,LEGO,£51.15,"Although she personifies the deepest, darkest oceans, there is an aura of warmth and caring surrounding Gali that the other Toa do not possess. She is gentle and kind, and often the only one who keeps the Toa from splitting up or doing battle amongst themselves. She has also proven herself many times in battle. As a Toa of Water, Gali can control the tides, create floods from the tiniest bit of moisture, summon and disperse tsunamis and rainstorms, and combine forces with Lewa to unleash a powerful thunderstorm. She could sense any change connected to the rivers, streams and ocean; and knew immediately when something was wrong in the waters.When Gali was transformed into a Toa Nuva, her hooks transformed into twin Aqua Axes that doubled as swimming fins so that she could swim even faster. She also acquired a Kaukau Nuva, the Kanohi Nuva Mask of Water Breathing. However, she lost her Golden Kanohi, and with it access to the powers of the Great Masks she had collected. She was forced to collect the five corresponding Kanohi Nuva to regain these powers, and these five are now kept on her Suva shrine in Metru Nui.",56.78
54,Lego Space Police 5984 'Lunar Limo',LEGO,£62.50,Lego Space Police 5984 'Lunar Limo',69.38
55,LEGO Bricks: Grey 2x4. Part 3001 (X 25),LEGO,£7.48,"Taken from standard LEGO sets. 25 x 2x4 Grey LEGO bricks (brand new). Great for specific projects, compatible with all standard LEGO themes (City / Creator / Star Wars etc.).",8.3
56,LEGO Ninjago 2115: Bonezai,LEGO,£11.99,"Spin your way to victory against the Spinjitzu masters! Stealthy and with bones as cold as ice, Bonezai uses his ice abilities to win weapons and battle for glory! Use the four battle cards included in the set to influence the outcome. Set includes 1 LEGO minifigure, black ice spinner, 3 weapons, 1 character card, 4 battle cards and LEGO bricks.",13.31
57,LEGO Chima 70151: Frozen Spikes,LEGO,£18.71,"Product Description Venture into the magical kingdom of Chima to help Voom Voom find the CHI in LEGO Legends of Chima Speedorz Frozen Spikes! Place the vulture onto his new Speedor and pull the rip cord to accelerate away. Hit the ramp to knock over the ice tower, smash open the ice rock and release the hidden CHI. For multi-player fun, create defenses using the ice blocks and jump to protect the hidden CHI. This set includes a Voom Voom minifigure, two weapons, new Speedor with ice wings, rip cord, jump, ice tower, exploding rock, CHI orb, six CHI crystals and five game cards. Test your accuracy and jumping skills with this rip cord skill game for one or more players. Box Contains x77 Pieces",20.77
58,LEGO Ninjago 70605: Misfortune's Keep Mixed,LEGO,£68.06,"Product Description Stage a sky pirates vs. Ninja battle with Misfortune’s Keep, featuring rotating engines for launch and flight modes, fold-out cannons and disc shooters, plus a pirate jet and launchpad. Ninja Lloyd has a booster jet featuring a winch to lower Jay into battle for the golden Djinn Blade with ‘trapped Wu’ element. Includes 6 minifigures: Jay, Lloyd, Kai, Bucko, Nadakhan and Flintlocke, plus Monkey Wretch. Safety Warning not appropriate for children under the age of 3 See all Product Description",75.55
